station_name,avg_temp,rainfall,wind_speed,air_pressure
Gorakhpur,24.98457143,6.066148616,7.655223881,1007.837508
Gulbarga,27.48804287,2.752910737,10.17159167,1009.339825
Gulmarg,6.912634409,3.465188172,4.386424731,1017.797177
Guna,25.36479523,5.630609212,8.439422431,1008.729886
Gwalior,25.34778472,3.941573604,6.453365098,1008.275467
Haflong,20.87991941,4.333109469,7.876427132,1010.485091
Hamirpur,25.18072532,2.842377435,9.261249161,1008.204433
Hanamkonda,26.82726662,3.08710544,8.670718603,1008.841034
Hardoi,24.1889859,3.003022163,9.151914036,1008.203895
Harnai,28.19755771,15.6162014,14.64828744,1009.542915
Hassan,22.4608871,3.160551075,12.24200269,1011.878024
Haveri / H?veri,25.03391538,2.83465413,12.7842176,1010.5364
Hissar,24.42641304,2.447591006,7.042041639,1008.665077
Honavar,27.21329354,16.07932891,12.32753526,1008.692612
Hoshangabad,27.58875158,6.627036482,8.62740094,1008.902821
Hut Bay,26.90941493,6.610356422,17.57585743,1009.735171
Hyderabad / Anthredigudam,26.33665403,3.670703839,11.52686367,1012.055295
Hyderabad Airport,27.27200866,4.080850091,7.618905306,1010.331631
Imphal Tulihal,22.22181917,4.858749041,4.76425218,1011.229953
Indore,25.29110147,5.09025974,10.02019417,1010.503329
Jabalpur,25.8937034,4.023713235,8.600872483,1009.561208
Jagdalpur,25.18337395,6.275117572,6.017528543,1009.319745
Jaipur / Sanganer,26.1686163,3.756245734,8.033729521,1009.543132
Jaisalmer,27.15367123,1.796777906,13.11511081,1007.526864
Jalgaon,27.18280725,2.943049026,9.711148422,1008.711283
Jalna / Badnapur,25.75399597,2.879449295,10.05795836,1009.671122
Jalpaiguri,25.38614674,10.97895058,6.444785276,1008.436426
Jammu,22.47821138,4.116081229,5.758394161,1010.068613
Jammu / R?mb?gh,22.52962631,5.187923827,7.384273391,1009.218315
Jamnagar,26.34828767,2.155993151,17.71755137,1009.337158
Jamshedpur,26.11449664,3.586098052,5.162080537,1008.116846
Jeur,26.36843519,2.372800537,15.10530557,1009.754668
Jhansi,26.42970486,4.228745556,7.282941572,1009.101075
Jharsuguda,27.02103825,5.909855453,6.370462157,1008.609176
Jindal Vijaynagar,26.08032236,1.993619879,13.7758227,1010.820551
Jodhpur,26.76619372,2.269977925,9.509133647,1008.534385
Jorhat / Lengrabhita,24.0342671,7.164482901,8.18549362,1008.661988
K. Paramathy,28.19503022,2.996034946,11.36364247,1009.251075
Kailashahar,25.5993173,9.730304293,6.245265279,1008.953727
